,Atrial,AVC,EMP,OFT,SV,Ventricle
Xkr4,0.001361284,0,0,0,0.000434475,0.000494656
Rp1,0,0.000337983,0.001555373,0.000427078,0,0.000196207
Sox17,0.003387612,0.003720255,0.006966059,0.003787206,0.004192194,0.003475885
U6.1,0,0,0.000603923,0,0,0
Mrpl15,1.872712321,1.607035461,1.809936637,1.485018525,1.584796313,2.247670809
Lypla1,0.745634775,0.847273472,0.785540481,0.744291138,0.740349496,0.749282239
Tcea1,0.572795376,0.5649919,0.610995125,0.661379667,0.704641892,0.615546373
Gm6104,0.051036361,0.051720274,0.091287784,0.097027242,0.132676026,0.050612413
Rgs20,0,0.001147322,0.000666872,0.002301927,0,0.000672517
Atp6v1h,0.351539727,0.412702279,0.323930668,0.464815715,0.327697865,0.309562367
Oprk1,0.007009713,0.062593805,0.026795453,0.014562875,0.020266002,0.026750165
Npbwr1,0,0,0,0,0.001928139,0.00013175
Rb1cc1,0.463864292,0.538616692,0.36221422,0.593569743,0.476586709,0.3637363
4732440D04Rik,0,0,0.001089246,0.000447928,0.00045747,0
Fam150a,0.001229227,0,0,0.000958921,0,0.000169535
St18,0,0,0,0,0,0
Pcmtd1,0.259527643,0.33932001,0.161400246,0.238961322,0.259910987,0.220579187
Gm9826,0,0,0,0,0.000276667,0.000333647
AC103380.1,0.005161304,0.002627577,0.002863112,0.002233323,0.002972209,0.006263295
Sntg1,0,0,0,0,0,0
Gm15452,0.030999849,0.033041848,0.028180027,0.027431308,0.038723064,0.039572193
AC163389.1,0,0,0,0,0,0
Gm7493,0,0,0,0,0,0
Rrs1,0.842506837,0.514653309,1.234237293,0.993310827,1.025753272,1.232232056
Adhfe1,0.001284712,0.003383387,0.001561863,0.000768794,0.009286521,0.00370861
2610203C22Rik,0,0,0.000365889,0,0,0.000613663
Gm6161,0,0,0,0.002087981,0.000388553,0.000398213
Mybl1,0.016729174,0.012090726,0.010929125,0.011659654,0.018549749,0.016801327
Vcpip1,0.160893146,0.189315248,0.159305504,0.214582789,0.190094533,0.157997623
AC158928.1,0.000392474,0.0011705,0.000715633,0.001398505,0.000216613,0.000744792
Sgk3,0.010362956,0.042392822,0.04067969,0.020455779,0.022799356,0.032256749
Gm6195,0.001036129,0.002241354,0.001584961,0.000318012,0.002470901,0.001315513
6030422M02Rik,0.00401762,0.010635668,0.006256067,0.005088317,0.010005892,0.009335375
Gm10567,0.012470183,0.062871476,0.025133579,0.004008231,0.004327792,0.019846334
Ppp1r42,0.001819209,0.000944569,0,0,0.000524059,0.000788645
Cops5,1.895872224,1.886738453,2.183819232,1.839075928,1.992859877,1.65934602
Cspp1,0.238133126,0.273569113,0.266468506,0.387346782,0.373576774,0.205562453
Arfgef1,0.297092478,0.397029858,0.28024268,0.254791658,0.318766719,0.387984098
Cpa6,0.001193204,0.002127527,0,0,0.00218065,0.000347259
Gm15604,0.00192434,0.002835665,0.000955995,0.00174582,0.004025716,0.004583598
Gm15603,0,0.000788963,0,0,0,0.000192845
Prex2,0.008911235,0.001675051,0.015821771,0.010604648,0.015255586,0.00396764
A830018L16Rik,0,0.000419783,0.001415248,0.003131031,0.001936825,0.000868511
RP23-138D5.1,0.001722796,0.001137084,0.000624148,0.002673779,0.002909632,0.001330789
AC136316.1,0,0,0,0,0,0
Sulf1,0.002836057,0.035869021,0.026251786,0.031433376,0.02637353,0.032699694
Slco5a1,0.002450872,0.005542831,0.007137473,0.009564885,0.021643573,0.011697668
Ncoa2,0.102920357,0.110476899,0.087522141,0.128277677,0.101928428,0.099247497
Tram1,1.089342568,1.268906259,1.23740653,1.254501339,1.110184685,1.046126938
Lactb2,0.1674308,0.190437376,0.178018424,0.120438323,0.141214949,0.199548608
Xkr9,0,0,0,0,0,0.00043244
RP23-70F22.1,0.06561649,0.067777813,0.054203463,0.058881296,0.050332239,0.057423629
Eya1,0.008362546,0.006874766,0.008477883,0.01443109,0.009144865,0.00238431
Msc,0.002043122,0.00074838,0.003887456,0.001427085,0.003600689,0.000181476
Gm9947,0,0,0.000222154,0,0,0
Smt3h2-ps4,0.000521239,0,0,0,0,0.000628205
Rpl5-ps1,0.169302371,0.138772681,0.179470459,0.18550846,0.155600195,0.194910593
Trpa1,0,0,0.000670488,0,0,0
Gm10566,0.008914075,0.009065575,0.006044461,0.007394613,0.011983689,0.009231842
Kcnb2,0.001078128,0.007467088,0.002130823,0.003381049,0.005005608,0.001902023
Kcnb2.1,0.002545727,0.000979018,0.003032553,0.000694368,0.00276264,0.001470699
Terf1,0.263737273,0.268157931,0.419299254,0.355185287,0.362381731,0.300494091
Gm106,0,0,0.000514515,0.013274289,0.002578829,0.001505665
4930444P10Rik,0,0,0.001165899,0.00151326,0.002478941,0.000440569
Rpl7,18.49299676,18.34189345,27.10592062,20.6207942,23.64419503,21.34341583
Rdh10,0.058824991,0.043511292,0.057548154,0.097915817,0.091016384,0.03132918
Stau2,0.244628187,0.233387505,0.154231278,0.234708802,0.2006118,0.160052522
Gm7568,0,0,0,0,0,0
Ube2w,0.481247165,0.461446448,0.419446421,0.591721319,0.484112942,0.433264919
Tceb1,4.05617694,3.785225615,3.901547156,3.499238596,3.781029651,4.008743466
AC157362.1,0,0,0.00273981,0.004602713,0.002274879,0.001415799
Tmem70,0.867949594,0.698892619,0.646919443,0.613030825,0.656839078,0.902088982
Ly96,0.087186933,0.094207189,0.03143295,0.056560242,0.056299092,0.060148595
Gm5828,0.003904792,0.007083506,0.003097219,0.008410883,0.001011008,0.003467255
Jph1,0.066147326,0.049675317,0.059821426,0.038573147,0.047672112,0.075162396
Gdap1,0,0.002866123,0.000227674,0.000712092,0.002493661,0.002218618
Pi15,0.001592117,0,0.001636846,0.003486789,0,0.003670879
Gm16070,0.001279335,0.004923327,0.001764289,0.000973337,0.002881357,0.000113043
Crispld1,0.026154271,0.07414176,0.027667095,0.026564117,0.048634472,0.032054402
Tfap2d,0,0,0,0,0,0
Gm10075,1.784143016,1.727054127,2.549756877,2.472128639,3.396918803,1.896629911
Tfap2b,0.003484444,0.001945866,0.011285693,0.003642648,0.008481121,0.00122907
Pkhd1,0.000941538,0,0,0,0,0
Gm15795,0.001637017,0.003351022,0.002121468,0.005445841,0.002729698,0.004009888
Il17f,0,0.000930127,0.000736476,0.000580567,0.000864755,0.000123494
Mcm3,0.743508593,1.001147094,1.56121338,1.355955364,1.291429939,1.198224702
AC156980.1,0.0010125,0,0.00062962,0.002166533,0.000512914,0.000651923
Paqr8,0.002214666,0.007780441,0.005212579,0.00762793,0.007514858,0.003341049
Efhc1,0,0.000523051,0.002197617,0.003544394,0.002460631,0.00106642
Tram2,0.032768133,0.049358239,0.079150419,0.123460781,0.032854662,0.047240275
Tmem14a,0.204502179,0.210912318,0.104369549,0.121111525,0.14907827,0.137236745
Gsta3,0.000401311,0,0.000200705,0.000492309,0,0.000236405
CETN4,0.00067569,0,0.000676238,0,0,0.00023372
Gm4956,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0
Kcnq5,0.052536105,0.022740752,0.011049604,0.031132569,0.014080474,0.033539929
Gm7658,0.236061562,0.243032628,0.225940802,0.242896555,0.269237473,0.26465466
AC125483.1,0,0.00159725,0.000583864,0.002224923,0,0.000744088
Rims1,0.000465577,0.003200629,0.003657506,0.003704486,0.005673713,0.00247497
4933415F23Rik,0,0,0,0.000370692,0,0
Ogfrl1,0.181400358,0.143332485,0.162493139,0.172524861,0.302838247,0.126675755
RP24-361E14.1,0.002269214,0,0,0,0,0
B3gat2,0.001359126,0.002825461,0.00084799,0.00033193,0.000877783,0.001755839
Smap1,0.936658661,0.880681603,1.265108304,1.427990386,1.418651576,0.765749775
1110058L19Rik,1.313713342,1.079867904,1.05475204,0.964537476,1.096232237,0.964640092
ENSMUSG00000053484,0,0,0,0,0,0
Fam135a,0.105652111,0.14142265,0.097738129,0.121478186,0.137984038,0.114969338
Col9a1,0.108300926,0.020112235,0.050006243,0.068972308,0.203237201,0.009403515
Col19a1,0,0,0.000268075,0.001010779,0.00028035,0
Gm10222,0.014458219,0.015194784,0.007310916,0.017753753,0.007421151,0.011117012
Lmbrd1,0.19056054,0.299178459,0.2283471,0.287539258,0.193232957,0.200473779
Bai3,0.001825362,0.00348449,0.000920854,0.006500618,0.00253715,0.001222454
Gm15702,0.001049708,0,0,0.000285039,0,0.000640715
Gm9884,0,0,0,0,0,0
Gm7846,0.062567894,0.043655494,0.049418194,0.045466888,0.063134884,0.042946998
Gm5697,0,0.005667651,0.002417652,0.002094226,0.003245589,0.001843529
Gm6462,0.003173837,0.00141057,0.001304855,0.000736392,0.000572931,0.001686865
Phf3,0.205997508,0.298391659,0.271177629,0.373364053,0.317287454,0.295774991
Ptp4a1,1.453334162,1.335392081,1.843815829,1.685611981,1.684954318,1.474190473
Gm5698,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0
Gm10307,0.010032607,0.007741369,0.005251109,0.010284777,0.010034969,0.008869314
Khdrbs2,0,0,0.000771887,0,0.004936897,0.000669125
Gm5415,0,0,0,0,0,0
Prim2,0.119269015,0.131233681,0.215136628,0.167405849,0.223967938,0.13833394
1700001G17Rik,0.003495516,0.001326751,0.002836584,0.001428339,0.005579055,0.002557774
Rab23,0.096390034,0.077117247,0.131510838,0.116452006,0.125016316,0.098340902
Bag2,1.724698984,1.51536961,1.31536001,1.205107422,1.205382971,1.671253075
Zfp451,0.223408997,0.263278561,0.229017642,0.32351524,0.313078013,0.25096686
Gm15455,0.001823638,0.00179884,0.002487163,0.002274322,0.003816376,0.003843413
Bend6,0.008198558,0.014292059,0.006413123,0.006550957,0.006129894,0.009283138
Dst,0.182537647,0.303817674,0.146544039,0.282906754,0.192843554,0.207970093
AC127433.1,0,0.008249318,0.004620321,0.004658625,0.003663886,0.00504633
Ccdc115,0.952895269,1.005929495,1.112829083,1.129330014,0.844399418,1.022453722
Imp4,0.414874641,0.486966222,0.830652115,0.615639214,0.629677376,0.667570759
Ptpn18,0.029465401,0.105514667,0.06963366,0.01879425,0.048429281,0.057800912
Prss39,0,0.001521917,0.000306874,0,0,0.000203433
Cfc1,0.064660564,0.403292537,0.853648833,0.336265978,0.443334258,0.160877062
Prss40,0.001237359,0.002565848,0.001182041,0.000603766,0.000624277,0.000431207
Fam123c,0,0.001455453,0.002649365,0.008016069,0.00490019,0.001524823
Arhgef4,0.012068216,0.02697296,0.016746181,0.012594215,0.022666207,0.026211294
Fam168b,0.263024772,0.409997279,0.397590146,0.377644455,0.373255815,0.400273596
Plekhb2,0.112917014,0.149264636,0.086054351,0.109133975,0.058269318,0.112423724
Hs6st1,0.089065936,0.069475813,0.086632161,0.084337145,0.088705634,0.056592366
Uggt1,0.087199944,0.117920907,0.164898405,0.165474407,0.182702053,0.125011361
Neurl3,0.000963826,0,0.000514269,0.003225366,0.003736504,0.000265306
Arid5a,0.006732302,0.007055821,0.009183324,0.013006378,0.004672357,0.003895614
Kansl3,0.090784397,0.123612004,0.093898242,0.097388178,0.102483998,0.106075882
Fer1l5,0.004029407,0.001418824,0.000538737,0,0,0.001741182
Lman2l,0.391754761,0.399251786,0.293251465,0.335988155,0.300893094,0.310281026
Cnnm4,0.021330721,0.02210549,0.011462877,0.015780514,0.025551749,0.020431659
Cnnm3,0.027367421,0.027939323,0.035914125,0.04782928,0.049149342,0.030039388
Ankrd23,0.001158372,0,0.000930099,0.001673866,0.002741879,0.00033229
Ankrd39,0.134645109,0.129505709,0.111500729,0.083698934,0.098930813,0.138171291
Sema4c,0.04256509,0.073020151,0.069237696,0.072879136,0.103619466,0.045484956
D430040D24Rik,0,0.000618627,0.001613865,0.001259689,0.001641195,0.000653557
Fam178b,0.00551947,0.013444135,0.007162157,0.002662612,0.012127609,0.008877722
Gm6428,0.01513605,0.00459473,0.00775287,0.006706103,0.008454725,0.007227877
Cox5b,7.435322269,7.085117316,5.201829524,4.424107437,5.292326356,6.790983123
Actr1b,0.550654798,0.465257441,0.522469077,0.471740362,0.529383998,0.522456825
Zap70,0.003841201,0.005174474,0.000194537,0.000829371,0,0.003562945
Tmem131,0.07703174,0.124829251,0.125278075,0.145950444,0.132753558,0.119070872
Rpl12-ps1,0.026016122,0.026699437,0.026416844,0.028977162,0.037113746,0.026476331
Vwa3b,0,0,0,0,0,0
Cnga3,0,0,0,0,0,0.000177189
Inpp4a,0.041449335,0.054124893,0.038816475,0.061803538,0.054441132,0.028612497
Coa5,0.302962254,0.319349619,0.307733025,0.255409354,0.244045194,0.374711978
Unc50,0.627797117,0.66568615,0.756545011,0.901887349,0.725279363,0.630360879
Mgat4a,0.01306398,0.007587879,0.004011445,0.01429274,0.013713459,0.006080399
4930594C11Rik,0.003063419,0.00394154,0.004179968,0.005130203,0.006639967,0.002906461
2010300C02Rik,0.035117382,0.034699449,0.044998961,0.272821473,0.033356453,0.061672492
Tsga10,0.051899802,0.058020733,0.033759109,0.064121893,0.03792398,0.041749571
AC119189.1,0,0,0,0,0,0
Lipt1,0.095571486,0.056700757,0.04929487,0.060042483,0.050846077,0.067675313
Mitd1,0.089342344,0.079273348,0.131846358,0.126266294,0.112278048,0.088152449
Mrpl30,2.369839557,2.072876255,2.015730617,1.814851695,1.991483095,2.366056182
Lyg2,0,0,0,0.0013859,0,0
Gm15457,0,0,0,0,0,0
Txndc9,2.203785537,2.182616307,2.1395831,1.990451188,2.056832351,2.050177343
Eif5b,2.292115606,2.197193759,2.50496485,2.606031158,2.423187578,2.436002108
Rev1,0.145044977,0.119893151,0.131227345,0.166200891,0.162292972,0.141893762
Aff3,0.036936787,0.059086402,0.0464959,0.094569179,0.035682687,0.043771786
Gm16152,0.018261439,0.030153356,0.024628369,0.046552246,0.023650247,0.016897564
Lonrf2,0.009014115,0.009453847,0.002569643,0.010873996,0.006634981,0.011750492
Chst10,0.008221715,0.010208729,0.01132561,0.011896333,0.019258937,0.006676819
Pdcl3,2.914966455,2.814530798,2.060235854,2.159629159,2.070387358,2.29686827
Npas2,0,0,0.000911681,0,0,0.000397138
Gm3617,0.008639341,0.011889966,0.008466389,0.016206504,0.013298621,0.010115102
Rpl31,7.013337629,6.23226528,9.755723502,6.734054403,8.849805297,8.034635978
Tbc1d8,0.028143725,0.04429715,0.019978166,0.031677825,0.01666388,0.024272825
D1Bwg0212e,0.616026667,0.633579534,0.656351771,0.69047883,0.74770227,0.608861808
Gm15832,0.005508133,0.00162293,0.005356797,0.006434359,0.004922011,0.002572475
Rnf149,0.216571186,0.23465555,0.218120622,0.317858876,0.234139766,0.188715921
SNORA33,0.001082612,0.001077382,0.001813168,0.00206235,0.00352475,0.001825988
Creg2,0.002071175,0.00243251,0.000330214,0.002594398,0,0.001202371
AC119809.1,0,0,0,0.000334061,0,0
Rfx8,0.016083919,0.012926835,0.006274519,0.008762274,0.004565613,0.0131448
Gm3646,0.000354293,0.000548477,0,0,0,0.000897253
Map4k4,0.207205708,0.291542848,0.301053545,0.353481029,0.37157193,0.222514785
AC161534.1,0,0.001429726,0.001268203,0,0.000800871,0
Il1r2,0.014575732,0.007661942,0.001157547,0.001383653,0.0148916,0.00119437
Il1r1,0.026600182,0.026344758,0.004989858,0.003836617,0.036340106,0.002098091
Il1rl2,0,0,0,0,0,0
Il1rl1,0,0,0,0,0,0
Il18r1,0,0,0,0,0,0
Il18rap,0,0,0,0,0,0
Mfsd9,0.006884467,0.007845872,0.009972738,0.011609373,0.007158629,0.003912559
Tmem182,0.006964753,0.007634252,0.002863914,0.004195809,0.000418559,0.005001642
2610017I09Rik,0.004467789,0,0.003763046,0.00087162,0.00949453,0.001812526
Pou3f3,0.001649033,0.002149791,0.000726132,0.000277407,0.00266967,0.000587465
RP23-71K9.4,0,0,0,0,0,0
Mrps9,0.756777259,0.710667443,0.673711018,0.548373577,0.652628174,0.804761706
Gpr45,0,0.001044297,0,0.000181078,0,0.000214524
Tgfbrap1,0.020043341,0.018774405,0.025544739,0.028434701,0.026395381,0.025325362
8430432A02Rik,0.004255047,0.004303071,0.002403818,0.000991749,0.002289013,0.001777649
AI597479,0.108273484,0.10823408,0.130035901,0.141840603,0.119772195,0.102242849
Fhl2,3.54825358,3.931575805,1.610912866,1.071048298,1.264503865,2.334041976
Gm8210,0.042422766,0.044677082,0.038858253,0.05671117,0.065887413,0.052104191
Nck2,0.012742816,0.007872239,0.009825387,0.019249595,0.016053063,0.012069896
1500015O10Rik,0.000870554,0.002947354,0.00082251,0.003881721,0.001172454,0.003382986
Uxs1,0.125089829,0.135195938,0.250048118,0.151840013,0.217126924,0.178926062
Tpp2,0.36604326,0.374020092,0.420507868,0.42828527,0.400392083,0.420321295
Mettl21c,0,0.00323767,0,0.000482486,0.001537134,0.001230805
Gm8251,0.007841588,0.010084264,0.008913734,0.010307895,0.010415517,0.008598215
Tex30,1.596271313,1.554412945,1.640976504,1.482212352,1.50856746,1.565648353
Kdelc1,0.21033864,0.202030387,0.221629541,0.256293528,0.232731812,0.260548561
Bivm,0.070421957,0.078007128,0.081770428,0.085464853,0.077943599,0.085029475
Ercc5,0.130109836,0.135036638,0.134349964,0.135585018,0.131086337,0.0973989
Gulp1,0.054882751,0.081509021,0.092407177,0.135699379,0.089095194,0.078300963
Gm16102,0,0,0,0,0,0
Col3a1,0.035851182,0.0355263,0.049690773,0.064722018,0.103421635,0.020187996
Col5a2,0.012800205,0.055793863,0.037087605,0.059793164,0.108513264,0.034557607
Wdr75,0.386027284,0.323430868,0.469689602,0.44438135,0.446702055,0.533773542
Gm5526,0.224213944,0.182296158,0.104299783,0.24549303,0.124201852,0.17256702
Slc40a1,0.01137155,0.005351427,0.003985718,0.005263149,0.009353722,0.003630942
Rpl23a-ps1,0,0.000756328,0.00077446,0.00280175,0.002919562,0.002470403
Dnahc7b,0.014717028,0.012489277,0.006384223,0.010577831,0.007845363,0.005216068
Slc39a10,0.359245211,0.424640541,0.455294628,0.565126463,0.608410813,0.473919736
Gm4852,0.000500135,0.001384429,0.000564109,0.00398549,0.001923708,0.001248529
RP23-34F5.1,0,0,0.000183933,0.00053266,0,0
Tmeff2,0.008651858,0.015485645,0.011497034,0.014619465,0.02201923,0.007445064
Sdpr,0.047272457,0.04520473,0.045380381,0.64900565,0.05508979,0.062279125
Nabp1,0.081434925,0.157857894,0.150694309,0.155865397,0.079572273,0.216721687
Myo1b,0.417424315,0.582249218,0.503788296,0.650913079,0.707896639,0.383920452
Gm8420,0.018522044,0.01599694,0.015720061,0.02344241,0.018391786,0.019367605
Stat4,0.000864727,0.000414764,0,0.00057719,0.001149007,0.000192382
Gm3940,0.057967738,0.048472819,0.09661621,0.079325085,0.074343573,0.07417259
Stat1,0.023087345,0.022355208,0.012306199,0.006278811,0.024834087,0.013699075
Gls,0.229166532,0.161896298,0.178953374,0.21645117,0.187547849,0.286701008
Nab1,0.365055605,0.548846675,0.331896766,0.302425769,0.300497241,0.513863385
RP24-150D18.2,0,0,0,0,0,0.000604352
Tmem194b,0.022067609,0.020654898,0.021543238,0.024215769,0.020779132,0.020501251
Mfsd6,0.007330541,0.021558839,0.006378601,0.014488412,0.00619608,0.010936876
Inpp1,0.055770868,0.057227424,0.050396409,0.029797789,0.047364426,0.038064042
Hibch,0.551924492,0.629359924,0.303669662,0.224309266,0.305589743,0.460607561
1700019D03Rik,0.003007551,0.005582015,0.008391823,0.005073021,0.0062195,0.00397699
Mstn,0.002245611,0.004949782,0.000171546,0,0.008853688,0.000661305
1700019A02Rik,0,0,0.000144822,0,0,0
Pms1,0.0616968,0.074049499,0.063498655,0.083888233,0.067547165,0.077145944
Ormdl1,0.697397318,0.733133553,0.740829258,0.875354509,0.766642678,0.611684895
Osgepl1,0.385924702,0.44904899,0.460219441,0.452215431,0.2809288,0.402170456
Asnsd1,0.81741488,0.953610679,1.173315332,1.167964393,0.89731724,1.014239589
Dnahc7a,0.005911521,0.006472813,0.006910712,0.012830155,0.001138916,0.003288429
AC122925.1,0,0,0.000613479,0,0,0.00016365
Stk17b,0.098952469,0.165073867,0.193450675,0.27097318,0.119597502,0.172290383
Hecw2,0.038176629,0.08031588,0.037232825,0.097023717,0.022698139,0.064117272
Ccdc150,0.003017796,0.003834494,0.004934088,0.00360855,0.00433249,0.004697973
Gtf3c3,0.087907873,0.115970864,0.107762891,0.129637807,0.117478747,0.09448895
Pgap1,0.068626327,0.140748628,0.062951042,0.180256805,0.064421323,0.2546034
Ankrd44,0.012516862,0.036042481,0.02504951,0.05064929,0.017731099,0.039381386
Sf3b1,2.47697421,2.916437136,2.979126636,3.334803849,3.334579793,2.487713542
Coq10b,0.396474211,0.417216771,0.432871302,0.47900299,0.372611345,0.347946103
Hspd1,7.208303488,5.280529835,8.391816257,6.503873431,8.509774897,10.17711888
Hspe1,10.62853707,7.881420815,16.28212846,8.89353485,12.71410945,15.16781298
Gm16581,0,0,0,0,0,0
Mob4,2.02641251,2.37018831,2.125483951,2.214540779,2.008166149,1.674169341
Gm6822,0.002896026,0.003931419,0.001914057,0.001097533,0.001114059,0.002630916
Rftn2,0.002163329,0.004747476,0.005265383,0.004818257,0.011987343,0.002122119
AC122223.1,0.001882495,0.004489208,0.00565338,0.003591697,0.013993759,0.002191415
Mars2,0.057484329,0.04236877,0.051733691,0.037781893,0.037550935,0.060259034
Boll,0,0.008862321,0.002016416,0.004131863,0.000530322,0.004321201
Gm8292,0.603567594,0.55884212,0.954875352,0.730780702,0.890305317,0.65310168
Plcl1,0.002802985,0.033986159,0.015385641,0.018239385,0.037626406,0.016437903
Gm6644,0.064958897,0.104965718,0.064854532,0.054423246,0.076663472,0.098623047
Satb2,0.006783276,0.000703337,0.01231434,0.002814059,0.006817873,0.003685552
9130024F11Rik,0.000603814,0.002611975,0.00693653,0.003032345,0.003696788,0.004219145
AC161493.1,0.004610897,0.011293609,0.018076691,0.012495443,0.008989839,0.008816135
1700066M21Rik,0.035775564,0.028850352,0.026378126,0.02087494,0.033523915,0.023544797
Tyw5,0.187399016,0.22755787,0.272955629,0.218842836,0.244573496,0.223144174
9430016H08Rik,0.686910819,0.584741673,0.684565121,0.645839477,0.675881137,0.642105792
Spats2l,0.101294437,0.225035314,0.157657288,0.142117613,0.255184888,0.10658395
Kctd18,0.042315604,0.051680047,0.058617979,0.049252556,0.049784085,0.044293848
Sgol2,0.248600447,0.432236257,0.495795231,0.381932777,0.532836118,0.363000799
Aox1,0.002803153,0.004134217,0.001140337,0,0.001756903,0.000470118
Aox3,0,0.001716328,0.001542864,0,0.003421809,0
Aox4,0.178004499,0.072390368,0.025745297,0.055307546,0.04348834,0.045105441
Gm15759,0,0,0,0,0,0
Bzw1,3.076678446,2.934067484,3.821720424,3.736854094,3.829552385,2.757383891
Clk1,0.625753807,0.673074549,0.445882575,0.727054158,0.672985732,0.545993883
Ppil3,0.457874987,0.501247159,0.558460417,0.474402959,0.544047424,0.49406104
Nif3l1,0.275478999,0.224978597,0.39437463,0.278798287,0.344741049,0.285904229
Orc2,0.27804431,0.314327327,0.487528299,0.395444404,0.438895191,0.399587161
U6.22,0,0,0.000627169,0,0,0
Gm15834,0.001581353,0.004092648,0.002399326,0.006166497,0.001605328,0.000807331
Fam126b,0.091442187,0.082041819,0.091739339,0.098951065,0.086687957,0.079627184
Ndufb3,2.18761269,2.24642621,1.797267333,1.635850088,1.732215673,2.097741564
Gm10068,0.011890794,0.01473106,0.015301294,0.020348798,0.023316045,0.021804265
Als2cr12,0,0,0,0,0,0
Cflar,0.108111519,0.166751259,0.120577889,0.141813558,0.114487303,0.098602013
Casp8,0.047720273,0.083259371,0.086937059,0.052836843,0.070180898,0.062735758
Trak2,0.10930516,0.135155195,0.072814746,0.09517396,0.07943777,0.143591868
Stradb,0.103738047,0.105234978,0.080255328,0.102550303,0.098800353,0.093500372
Als2cr11.1,0,0,0,0,0.000532168,0
Tmem237,0.364530404,0.36798877,0.39803418,0.461165731,0.471868828,0.300101688
AC133162.1,0.024951934,0.02038315,0.011875202,0.020620562,0.015220371,0.015381012
Mpp4,0.000453283,0.00051857,0.000965146,0.000524418,0.002012237,0.000596536
Als2,0.015008213,0.012338984,0.00622113,0.011165421,0.019039194,0.006452131
Cdk15,0,0.000573606,0.002963701,0.008999744,0.002758737,0.002960361
Fzd7,0.104210172,0.080816992,0.203759242,0.031647959,0.276209217,0.01893185
AC132574.1,0,0,0,0,0,0
Gm973,0.001977458,0.000490958,0.001886228,0.000289829,0.001523275,0
Sumo1,5.922358995,5.679084571,7.405871757,6.752704585,7.737855595,5.43251983
Nop58,1.949348765,1.418573412,2.407391856,1.980264806,1.843047831,2.674771426
SNORD70,0,0,0,0,0,0
Bmpr2,0.037771316,0.04736942,0.022319138,0.050803564,0.041917445,0.02739339
Fam117b,0.044432234,0.04566141,0.064953668,0.095973534,0.077865473,0.047776989
Ica1l,0.00228243,0.00046526,0.000148173,0.00220303,0.000384198,0.000680939
Wdr12,0.480848559,0.325405518,0.607886132,0.394623623,0.54999262,0.744595766
Carf,0.004275574,0.003891432,0.001275744,0.00701263,0.009741925,0.005670209
Gm15464,0.020674648,0.021010296,0.024353068,0.019748325,0.01894371,0.025987618
Nbeal1,0.325413708,0.426024449,0.306416186,0.418072568,0.345515748,0.326544504
Cyp20a1,0.433924645,0.44662952,0.46194071,0.621085853,0.473862083,0.44626751
Abi2,0.232438194,0.263074656,0.238221846,0.374527744,0.239232855,0.253087408
Raph1,0.111200132,0.110605184,0.071273332,0.141085237,0.064879357,0.09976119
Gm11575,0.004644684,0.009804488,0.015440777,0.009821637,0.013405151,0.009932911
Gm11578,0.002099904,0.002038785,0.002855962,0.012819082,0.007124937,0.001895376
Eif4a-ps4,0.490017807,0.413609056,0.54548727,0.573735795,0.56557598,0.519903736
Cd28,0.000319757,0.000638059,0,0,0.000457238,0.000571681
Rpl18-ps1,0.158818076,0.163704702,0.245644786,0.23717222,0.252208668,0.223642452
Gm11582,0.000612925,0.00121576,0.000163645,0,0,0.000166501
Icos,0,0,0,0,0,0
Rpl17-ps1,0.015992338,0.01080531,0.01765041,0.020638845,0.018080438,0.017717104
Gm11591,0,0,0.000627169,0,0,0
Gm11587,0,0,0,0.000510293,0.000289629,0.00019546
9530026F06Rik,0,0,0,0.001436583,0,0
Pard3b,0.01250579,0.028938315,0.019567621,0.037925516,0.021083667,0.032863754
4930448K12Rik,0,0,0,0,0,0.000173436
Gm12747,0,0,0,0,0,0
Gm11599,0.022153305,0.024093586,0.035461894,0.033774699,0.046553596,0.028171063
Nrp2,0.027195503,0.031313456,0.12421236,1.683216481,0.149884214,0.074785601
Ino80d,0.114880914,0.147937939,0.095287898,0.171010714,0.15320289,0.129611388
Gm11601,0,0,0,0,0,0
Gm11603,0.000400563,0.001389413,0,0,0,0.001249142
Gm11602,0.001630439,0.00065547,0,0,0.001279091,0.001303447
Ndufs1,1.379758022,1.286534546,0.856056705,0.931674632,0.962624737,1.262209468
Eef1b2,6.912906464,6.171111093,9.354653904,7.955189325,9.127313018,8.287874567
Gpr1,0,0.001466304,0,0.00676657,0.001304695,0.00080117
Zdbf2,0.24396152,0.329849951,0.30683705,0.652456911,0.411832732,0.339969685
Gm11605,0.021669071,0.017105534,0.01266168,0.020675544,0.018290303,0.021426024
Adam23,0.001623084,0.000603968,0.003155556,0.000873845,0.002362827,0.000137686
Mdh1b,0,0,0,0,0,0
Fastkd2,0.268314391,0.273284971,0.29370303,0.244706777,0.25616595,0.344282128
Klf7,0.329167431,0.353778983,0.271283443,0.470569614,0.366631153,0.299037005
AL645646.1,0,0,0,0,0,0
Gm13750,0.049792961,0.03214441,0.02066227,0.037194695,0.037492042,0.032663094
Creb1,0.212976192,0.277602897,0.246394134,0.310068489,0.313755463,0.239037377
Mettl21a,0.141665698,0.139177137,0.16387643,0.163583365,0.154650419,0.111321789
