,Atrial,AVC,EMP,OFT,SV,Ventricle
Tekt2,0,0,0.001447312,0,0.000384035,0.000362953
Eif2c3,0.068942453,0.089470819,0.057676141,0.068703998,0.081744482,0.069084141
Eif2c1,0.057720932,0.066508427,0.055892789,0.057553874,0.080248063,0.050940983
Eif2c4,0.012887724,0.021576031,0.003750001,0.018272659,0.009575926,0.005043104
Gm12934,0,0.000501078,0.000574786,0.000474097,0.002154217,0.000376492
Clspn,0.172058622,0.295546713,0.471051764,0.394718063,0.499785008,0.382936532
Gm12936,0.002752251,0.000521969,0.00054504,0.000513205,0.001645632,0.001155659
5730409E04Rik,0.018446224,0.017861142,0.012630557,0.00818469,0.015930692,0.014168841
Gm12933,0.09105881,0.079313588,0.132163984,0.106671206,0.11772241,0.091927033
Psmb2,7.014217506,6.87997943,7.632244697,6.54240819,6.860176618,6.557004598
Tfap2e,0,0,0,0,0,0.000230909
Ncdn,0.047264926,0.048507488,0.046597024,0.049491336,0.048149566,0.060992227
AU040320,0.065500683,0.09663685,0.056539247,0.071218682,0.05739617,0.069108723
Metazoa_SRP.53,0,0,0,0,0.00070554,0
Zmym4,0.330885878,0.383061602,0.340510659,0.476021964,0.444226213,0.33953705
Sfpq,3.091389258,2.842107038,5.095524577,4.349646305,5.029992038,3.2575068
Gm12940,0.122533668,0.108141955,0.072706929,0.093147299,0.126983142,0.084051246
Zmym1,0.129830372,0.140428419,0.193041372,0.19048591,0.180125739,0.15644122
Gm12944,0.002244642,0.005977846,0.006661824,0.008821395,0.00627319,0.006467275
Zmym6,0.010782187,0.020275159,0.01678781,0.018638519,0.025551641,0.015758671
Gm12942,0.081491797,0.073461722,0.026965248,0.064662751,0.045815382,0.05212089
Gm12943,0.001498574,0,0.001220409,0.002069394,0,0.000143032
Dlgap3,0,0.001413749,0.00478231,0.00199221,0.003768932,0.001739934
BC003266,0.84120578,0.848747676,0.704907204,0.799652216,0.675693595,0.802913303
Gja4,0.004254218,0.005909531,0.00854855,0.006119911,0.002138994,0.002026022
Gjb3,0.007162807,0,0.038046614,0.019128175,0.01310109,0.005006917
Gjb4,0,0,0,0.00088641,0,0.000161492
Gjb5,0.007185467,0.028632362,0.027608876,0.043343355,0.015406928,0.018067675
Gm12947,0.001900678,0.00206123,0.000704095,0.000754558,0.003384838,0.001654512
1700080G11Rik,0,0,0,0,0,0
CK137956,0,0,0.000409898,0.002237536,0,0.000207424
Csmd2,0,0.0006998,0.000222154,0.001263638,0,0.000246429
Hmgb4,0,0,0,0,0,0.000231107
Zscan20,0.023193312,0.023253951,0.020902224,0.02838314,0.024064059,0.01891445
Tlr12,0,0,0,0.001138876,0,0
Phc2,0.112394383,0.123753241,0.18080349,0.204421912,0.196667032,0.117124415
A3galt2,0,0,0.000230227,0.000681487,0,0.000596086
Zfp362,0.053617305,0.057825511,0.05478918,0.082944862,0.085978957,0.051056206
Gm12968,0,0,0,0,0,0
Gm12969,0,0,0,0,0,0
Trim62,0.006131181,0.014710256,0.0070613,0.007960332,0.012777968,0.010966422
Adc,0.010227563,0.007006354,0.009683434,0.011124719,0.010226239,0.007403299
Ak2,1.233399587,1.186806059,1.439299898,1.257607347,1.441188327,1.573023396
1700086P04Rik,0.023161049,0.028131172,0.011676563,0.015760549,0.00750259,0.01400431
Rnf19b,0.056734984,0.070821382,0.066302063,0.072091932,0.05027627,0.066166195
Tmem54,0.003828357,0.000893471,0.013254144,0.007635712,0.013386773,0.001395805
Hpca,0,0,0.000800613,0,0,0.000214383
Gm15906,0,0,0,0.001463584,0,0
Fndc5,0.045698063,0.148790743,0.045336141,0.114230223,0.051038735,0.043730196
S100pbp,0.103627038,0.122099614,0.133442084,0.146807356,0.131108911,0.109549568
Yars,0.351002536,0.326175803,0.457799753,0.353288906,0.406885637,0.372089914
C77080,0,0.000849701,0.002586233,0.002113937,0.001556147,0.000595756
Gm12976,0,0.000842077,0.000558422,0,0.000408279,0.000540255
Sync,0.00401807,0.008517055,0.000756414,0.001958268,0.002584056,0.001406365
Rbbp4,1.756419558,1.874379707,2.219526369,2.223913525,2.444354025,1.818726271
AL607123.2,0.012004743,0.004378909,0.005447189,0.008308588,0.003827307,0.003236568
Zbtb8os,0.46334095,0.527726834,0.48317721,0.514184557,0.47032603,0.531277099
Zbtb8a,0.026762711,0.046321053,0.039083881,0.050858507,0.054568358,0.033361413
Zbtb8b,0.001968585,0.003112873,0.008281808,0.008314586,0.00368857,0.002923513
Bsdc1,0.139403776,0.148480237,0.161650189,0.191987826,0.173005136,0.13559961
Tssk3,0,0,0,0,0,0
1700125D06Rik,0.002353552,0.000353682,0.002805941,0,0,0.00120225
Gm12979,0,0,0,0,0,0
Marcksl1,6.632253124,7.753409923,12.14994788,11.63500637,14.53983689,7.166438918
Hdac1,1.928247442,1.914051476,2.346355897,2.380773093,2.342458992,1.76068352
Lck,0.003801921,0.005215896,0.012998211,0.016300938,0.014466932,0.006305629
