,Endocardial/Endothelial,Epicardium,Lateral Plate Mesoderm,Multipotent Progenitors,Myocardium,Neural Crest,Paraxial Mesoderm
Xkr4,0.000248664,0.000634119,0.004890059,0.000259763,0.000338232,0,9.34E-05
Rp1,0.000580659,0.000641985,0,0.000102478,0.000440246,0,0.000967891
Sox17,1.31885247,0.004354496,0.001409543,0.006317768,0.004260234,0.003392379,0.004226033
U6.1,0.000224579,0.000617404,0,4.51E-05,0.000105483,8.26E-05,0
Mrpl15,1.981193172,1.872891985,1.806120685,2.031934813,1.848417926,2.663027333,2.250246826
Lypla1,0.805652435,0.704903615,0.74444611,0.703461385,0.765071909,0.699604797,0.750867194
Tcea1,0.708105743,0.814803631,0.687469528,0.800019126,0.62508084,0.855469521,0.766830814
Gm6104,0.162340278,0.200234656,0.095519898,0.25084235,0.077018093,0.277769901,0.131864556
Rgs20,0.001790514,0,0,0.000846939,0.00082033,0.000676081,0.000923327
Atp6v1h,0.311813644,0.310265981,0.194085911,0.207166823,0.354374053,0.236510216,0.145540278
Oprk1,0.000486344,0.005730597,0.001305886,0.009993602,0.026601879,0.000259007,0.000325039
Npbwr1,0,0.001218848,0.003762439,0.000532846,0.000325937,0,0
Rb1cc1,0.367998993,0.406266682,0.468866301,0.36104042,0.444665614,0.248130267,0.315491019
4732440D04Rik,0.000277085,0.000473643,0,0.000816445,0.000325654,0,0
Fam150a,0,0.000427091,0.000724228,0.003709052,0.000304687,0.001063227,0.007952619
St18,0,0,0,0.000108429,0,0,0.00049907
Pcmtd1,0.235170873,0.185063279,0.161228472,0.19700821,0.236488358,0.135554268,0.194788491
Gm9826,0.000111257,0.000939502,0,0.000162354,0.000147554,0,0
AC103380.1,0.001398889,0.003092005,0.005639222,0.002496177,0.004039443,0.002181343,0.003219143
Sntg1,0,0,0,0.00017308,0,0,0
Gm15452,0.048069642,0.049025754,0.027286244,0.051486079,0.034093255,0.063855392,0.039531891
AC163389.1,0,0,0.000824543,0,0,0,0.000470028
Gm7493,0,0,0,0,0,0.000147178,0
Rrs1,1.778666924,1.910414507,1.862698504,2.157329974,1.045997023,3.164490572,2.682489359
Adhfe1,0.001560095,0.004428736,0,0.003080005,0.003462026,0.002536244,0.004145779
2610203C22Rik,0.096803228,0,0.0004372,0.000445329,0.000260413,0.001265428,0.000590423
Gm6161,0.000372938,0.00029781,0,0.000209329,0.000502046,0.000733695,0
Mybl1,0.01428456,0.030629193,0.026223451,0.016319953,0.01467616,0.012760082,0.014496134
Vcpip1,0.186866467,0.194903727,0.172050456,0.177055688,0.175580514,0.1617778,0.156618761
AC158928.1,0.000680607,0.000745926,0,0.001139239,0.000782772,0.000859763,0.001560879
Sgk3,0.09176946,0.01783556,0.011667632,0.016322262,0.029903305,0.012652241,0.006703454
Gm6195,0.00113718,0.000945689,0,0.001438189,0.00146908,0.001114548,0.000910643
6030422M02Rik,0.006843199,0.007602281,0.008046709,0.013637781,0.007955074,0.012157604,0.011323755
Gm10567,0.000459433,0.004936239,0.000926344,0.001767944,0.020649637,0.00054925,0.000780501
Ppp1r42,0,0,0,0.000698307,0.000598675,0.000237624,0.000306948
Cops5,2.096158836,1.978938555,2.526487942,1.91416064,1.874963301,2.042979718,1.975070931
Cspp1,0.273965789,0.419610801,0.319679926,0.384860604,0.279545453,0.340233791,0.364773395
Arfgef1,0.266473461,0.256960173,0.264636271,0.191745271,0.3320903,0.193340235,0.198905371
Cpa6,0.000515583,0.00026104,0.002103789,0.001060028,0.000790764,0.000147768,0.000396425
Gm15604,0.004491592,0.003691691,0.004547552,0.004284764,0.00299897,0.006855218,0.000971188
Gm15603,0,0,0,0,0.000157083,0,0.000296119
Prex2,0.281777564,0.030066062,0.024688982,0.093707623,0.008851907,0.109845787,0.101945979
A830018L16Rik,0.002056007,0.000823731,0,0.001873399,0.001336937,0.001431892,0.002417478
RP23-138D5.1,0.000306623,0.001534284,0,0.001837235,0.0016538,0.001513183,0.000841706
AC136316.1,0,0,0,0.000445844,0,0.000580265,0.000181186
Sulf1,0.06531275,0.11810399,0.188668241,0.114948525,0.028290478,0.035631803,0.149530689
Slco5a1,0.00131389,0.014254223,0.009127087,0.012638769,0.010509724,0.002224563,0.005961639
Ncoa2,0.105939713,0.136401698,0.128434161,0.140204944,0.103675875,0.107540248,0.104062543
Tram1,1.730743593,1.245527907,1.757173943,0.977033823,1.151231992,0.720409884,1.002689417
Lactb2,0.116322269,0.154341872,0.284453103,0.128029149,0.171344289,0.140922233,0.166562338
Xkr9,0,0,0,0,0.000138474,0,0
RP23-70F22.1,0.037656453,0.030086654,0.033434599,0.056038407,0.057987775,0.059246987,0.052678011
Eya1,0.022502355,0.005548262,0.006160035,0.098053413,0.007326074,0.053589201,0.174924168
Msc,0.00199198,0.004616821,0.001114158,0.049194794,0.001748269,0.001471448,0.018136429
Gm9947,0,0.000546959,0,0.002108297,3.88E-05,0.000356815,0.001843694
Smt3h2-ps4,0.000362975,0,0,0.00072995,0.000245539,0.000268241,0.000104676
Rpl5-ps1,0.192819924,0.180546079,0.134858147,0.188904929,0.176036325,0.268257155,0.144340789
Trpa1,0.000177929,0,0.001729561,0.000931785,0.00011711,0.000312978,0.000706007
Gm10566,0.003881101,0.004444127,0.0033928,0.007437024,0.008753707,0.011210278,0.006964728
Kcnb2,0.000424479,0.007477218,0,0.003295695,0.0032258,0.000422225,0.004305728
Kcnb2.1,0.000880451,0.001792872,0,0.001516557,0.001847743,0.000331183,0.000754116
Terf1,0.553958478,0.472086259,0.552393995,0.620312786,0.331628431,0.71348987,0.613082071
Gm106,0.001974421,0.000358098,0.001536901,0.003844285,0.002969064,0.000244646,0.004743886
4930444P10Rik,0.001628968,0.00095881,0,0.004261659,0.000939523,0.001710849,0.005523364
Rpl7,26.190019,21.59820734,22.81571753,29.20516176,21.97331772,30.00503767,30.91071323
Rdh10,0.078701102,0.041581526,0.059815275,0.504729075,0.05862574,0.059312886,0.36145309
Stau2,0.135293423,0.132279335,0.080592911,0.226656897,0.192413212,0.154729682,0.126706177
Gm7568,0,0,0,0,0,0,0.000469357
Ube2w,0.537559196,0.557802534,0.375014422,0.49748535,0.469908224,0.429361491,0.40561805
Tceb1,3.425893177,3.697401236,3.53259449,3.265461618,3.856100471,3.296195171,3.060624065
AC157362.1,0.001048547,0.000941984,0.001642826,0.002126954,0.001966247,0.001007388,0.00170811
Tmem70,0.739129369,0.781768915,0.831130277,0.713802947,0.750035942,0.947605574,0.670951957
Ly96,0.060707064,0.043739484,0.032560674,0.033358851,0.060438433,0.041537454,0.017873571
Gm5828,0.004580438,0.003641823,0,0.004594896,0.004266742,0.007060455,0.004507719
Jph1,0.040454189,0.041543325,0.045739538,0.039897288,0.059029033,0.059442082,0.087681127
Gdap1,0.000792732,0.002907161,0.001084125,0.002472988,0.001571724,0.002459115,0.002990537
Pi15,0,0.001057934,0,0.000773219,0.002126877,0,0.000403687
Gm16070,0.002513456,0.013641007,0.013057161,0.009843535,0.001620128,0.00590726,0.013817911
Crispld1,0.041491241,0.512883409,0.291516105,0.162888897,0.037476722,0.143446926,0.168670419
Tfap2d,0,0,0,0,0,0,0.000138418
Gm10075,3.254388702,4.1394266,2.86538356,4.657748656,2.288895919,4.309811121,3.537753344
Tfap2b,0.01255976,0.002216918,0,0.01161456,0.004698289,0.708174199,0.018203322
Pkhd1,0,0,0,5.32E-05,8.02E-05,0.004601908,0.000138418
Gm15795,0.002162063,0.001553768,0.000594147,0.003596034,0.003428273,0.006694746,0.004499782
Il17f,0.001051035,0,0,0.001244553,0.000496068,0.000778256,0.000344191
Mcm3,2.320751762,1.604724133,1.432113018,2.007488122,1.236788808,2.222206794,2.230740441
AC156980.1,0.001083731,0,0.001374265,0.001112484,0.000809702,0.000967289,0.00085104
Paqr8,0.009079619,0.010638833,0.003376303,0.005867272,0.005374242,0.003289407,0.006119673
Efhc1,0.00929384,0.009363147,0.005720482,0.005944101,0.001689352,0.004189538,0.004635826
Tram2,0.150241975,0.128620708,0.283102752,0.091213069,0.061305305,0.06931098,0.082258205
Tmem14a,0.055050125,0.086678193,0.067717483,0.075323254,0.145416901,0.036049766,0.05479391
Gsta3,0,0.00149739,0.000809231,0.000574032,0.000219749,0.000184877,0
CETN4,0,0.00029562,0,0.000144797,0.000250482,0,0
Gm4956,0.00013348,0,0,0,0,0,0
Khdc1a,0,0,0,0.000172146,0,0,0
Khdc1c,0,0,0,0,0,0,0
Kcnq5,0.018174019,0.055616538,0.009427396,0.018296928,0.026694515,0.002267897,0.001251662
Gm7658,0.27839701,0.2956911,0.186850784,0.264807702,0.250213219,0.382761426,0.179573954
AC125483.1,0.000340434,0.000436716,0,0.0003803,0.000871411,0,0
Rims1,0.000983897,0.009475333,0.002250897,0.007291196,0.003255731,0.003204288,0.014276979
4933415F23Rik,9.35E-05,0,0,0.000548581,5.63E-05,0.000478035,0
Ogfrl1,0.292507693,0.272459399,0.187304866,0.223963783,0.172496531,0.148920469,0.201710789
RP24-361E14.1,0,0,0,5.94E-05,0.000193195,0,0
B3gat2,0.000660128,0.002264166,0.001563303,0.001331354,0.001347103,0.000471036,0.001059904
Smap1,1.650564511,1.638892421,1.507832628,1.329577766,1.078143565,1.262448745,1.186309604
1110058L19Rik,0.760008383,0.883114335,0.902508338,0.76574487,1.043371448,0.62414839,0.697730806
ENSMUSG00000053484,0,0,0,0.000430122,0,0.000346704,0
Fam135a,0.129299911,0.127714966,0.094281382,0.124907335,0.118738973,0.121402647,0.153770662
Col9a1,0.04778455,0.183584693,0.248590292,0.209694372,0.063787953,0.552586675,0.317601804
Col19a1,0,0,0,7.34E-05,0.000241708,0.001064233,0.000123446
Gm10222,0.010839464,0.008529172,0.004288949,0.015221495,0.011694233,0.015751873,0.008162118
Lmbrd1,0.212951094,0.236510196,0.221554175,0.184362556,0.22859228,0.146967495,0.198685769
Bai3,0.001017822,0.001333379,0.000775738,0.003586049,0.002490128,0.002422839,0.003967404
Gm15702,0,0,0,0.000565613,0.00033786,0.000566919,0
Gm9884,0,0,0,6.13E-05,0,0,0
Gm7846,0.051812682,0.059228109,0.056062662,0.069706945,0.049187251,0.105494978,0.053292943
Gm5697,0.00330811,0.002862341,0.001145133,0.004166505,0.002493359,0.00716833,0.003406097
Gm6462,0.001308249,0.002374369,0.002176228,0.001893598,0.001404963,0.00314059,0.00270137
Phf3,0.329704555,0.432241544,0.401343811,0.418385074,0.299110011,0.412173294,0.46243441
Ptp4a1,1.67696296,2.157155098,2.019094367,2.250192846,1.583354049,2.110591639,2.362695063
Gm5698,0,0,0,2.86E-05,0,0,0
4931428L18Rik,0,0,0,0,0,0,0.000303838
Gm10307,0.013857714,0.009842524,0.007954192,0.008408671,0.00858677,0.009451312,0.006079172
Khdrbs2,0,0.00093683,0.001364949,0.000685003,0.001075609,0,0
Gm5415,0.000399986,0,0,7.34E-05,0,0,0
Prim2,0.248863764,0.269333131,0.250468861,0.276429661,0.1662882,0.32013744,0.225084605
1700001G17Rik,0.001553411,0.003622126,0.003445419,0.003116202,0.002810519,0.002614952,0.004219176
Rab23,0.153172265,0.192670866,0.153094495,0.179072195,0.108082222,0.224592105,0.172464951
Bag2,0.518970535,0.715018697,0.86453096,0.764591199,1.455398599,0.680191371,0.71604694
Zfp451,0.377162075,0.395556976,0.267013137,0.376197305,0.266441554,0.405443045,0.322212994
Gm15455,0.006127027,0.006243948,0.00597136,0.00788187,0.002945055,0.012944493,0.00529993
Bend6,0.004399042,0.019240096,0.016862582,0.013087463,0.008415444,0.017126063,0.012995422
Dst,0.093291251,0.204752442,0.26561747,0.162771723,0.215820825,0.092403886,0.165266488
AC127433.1,0.009163375,0.004850132,0.004088769,0.003192685,0.004666939,0.001811779,0.002008102
Ccdc115,0.808777278,0.740214367,0.738157911,0.758832957,1.020361561,0.834905549,0.783818035
Imp4,1.147549598,0.893918257,1.16711728,0.981749255,0.639249084,1.392958491,1.249523236
Ptpn18,0.331010127,0.023425886,0.08408505,0.018499822,0.055912792,0.018116218,0.003826222
Prss39,7.96E-05,0,0,0.00015829,0.000302637,0,0
Cfc1,0.011567199,0.103329023,0.97657138,0.263730371,0.371202939,0.001187008,0.012907527
Prss40,0,0,0.001086149,4.30E-05,0.000943554,0,0
Fam123c,0,0.001034352,0.0070875,0.003606264,0.003066365,0,0
Arhgef4,0.005739044,0.006143626,0.010540257,0.01424716,0.020854655,0.005087409,0.014227517
Fam168b,0.378281666,0.465024268,0.387406778,0.49024284,0.38187941,0.481191178,0.424485066
Plekhb2,0.075665026,0.059699854,0.034171384,0.040238728,0.103841991,0.02037485,0.03025757
Hs6st1,0.024580783,0.069913101,0.041344962,0.035257779,0.07510343,0.020689431,0.037049219
Uggt1,0.213094819,0.220667651,0.232445018,0.161348167,0.142542097,0.16393284,0.164779699
Neurl3,0.00449528,0.008157828,0.000744276,0.00102471,0.001296931,0,0
Arid5a,0.031592944,0.005724995,0,0.004109251,0.006941591,0.004235042,0.00671711
Kansl3,0.085307057,0.108796283,0.10285973,0.101140954,0.10291689,0.094030396,0.101421373
Fer1l5,0,0,0,0.000142055,0.001166144,0,0.001305055
Lman2l,0.158379632,0.225590313,0.212298564,0.218325143,0.327519135,0.173241124,0.191224604
Cnnm4,0.020934399,0.039435608,0.012583905,0.034295534,0.019190492,0.045106237,0.022211584
Cnnm3,0.044832982,0.047845605,0.054822075,0.05870197,0.03610039,0.047694065,0.061590554
Ankrd23,0.00233508,0.001967556,0.000968495,0.001437021,0.001025391,0.001948018,0.000627441
Ankrd39,0.121803509,0.089184367,0.104748941,0.087520633,0.118111701,0.093774396,0.094154348
Sema4c,0.216651584,0.117661173,0.097336852,0.141942696,0.065431028,0.124449525,0.145021499
D430040D24Rik,0.000659961,0.000784195,0,0.002022779,0.000998894,0.00132197,0.005173676
Fam178b,0.004545138,0.015729124,0.004275911,0.010055069,0.008377555,0.00726034,0.029347712
Gm6428,0.011952258,0.009924874,0.008475549,0.011739439,0.007775932,0.01428065,0.00782249
Cox5b,3.893421114,4.225948741,3.921084116,4.133615919,6.02352822,3.220797706,4.236507636
Actr1b,0.58279159,0.608002119,0.667846119,0.483922163,0.511259266,0.609834057,0.482016242
Zap70,0.001063958,0.000468432,0,0.000747012,0.002253214,0.000329459,0.001829486
Tmem131,0.178006604,0.135723324,0.114529432,0.15705379,0.123370711,0.167558924,0.198346609
Rpl12-ps1,0.046521127,0.026226385,0.030522516,0.047646552,0.028399242,0.056854734,0.039176666
Vwa3b,0.000159378,0,0,0.00012408,0,0,0.001128233
Cnga3,0,0,0,0,5.67E-05,0.000215596,0
Inpp4a,0.032070496,0.055208473,0.046157299,0.047031435,0.043416026,0.018654211,0.029290769
Coa5,0.227194157,0.234864939,0.290833113,0.254104711,0.312853182,0.218199575,0.285899788
Unc50,0.917669955,0.895842911,1.109340753,0.781205479,0.711688324,0.658899614,0.732215868
Mgat4a,0.010953427,0.012761946,0.003216474,0.014636509,0.008867229,0.007368249,0.012322278
4930594C11Rik,0.00545707,0.005021312,0.002907445,0.006525739,0.004154745,0.01110065,0.007291634
2010300C02Rik,0.015782858,0.018804197,0.002625976,0.10201235,0.081165595,0.00460607,0.003796949
Tsga10,0.040811167,0.041531487,0.046987939,0.032847173,0.046021529,0.032795377,0.031302998
AC119189.1,0,0,0,0,0,0.00030555,0.000252455
Lipt1,0.036654818,0.068914636,0.07379712,0.061634185,0.06187713,0.067810716,0.069114456
Mitd1,0.418408369,0.25709943,0.22726228,0.292490732,0.104155893,0.354781937,0.32544085
Mrpl30,1.993841254,2.033438231,1.970056765,2.060951345,2.130863759,2.422148252,1.961668437
Lyg2,0.00016894,0,0,0,0.000210642,0,0
Gm15457,0,0.000493465,0,0,0,0,0
Txndc9,1.875717827,1.970504272,1.909849257,1.861834089,2.086775425,1.894380861,1.720878986
Eif5b,3.235239444,3.148885201,2.749305394,2.971536181,2.430898632,3.096607005,3.160439767
Rev1,0.121542124,0.192005773,0.127048081,0.163492816,0.144337079,0.136542549,0.186907423
Aff3,0.043526474,0.094402476,0.042085975,0.098306475,0.052046413,0.097018154,0.119208031
Gm16152,0.022778237,0.079501278,0.030330937,0.059467696,0.025466618,0.048610827,0.058032522
Lonrf2,0.001700718,0.003714108,0.00207147,0.004255146,0.008750431,0.002049284,0.003057872
Chst10,0.004585361,0.022812777,0.01367201,0.018720734,0.010692008,0.019893362,0.021802035
Pdcl3,1.396052553,1.479471437,1.64859588,1.180783209,2.316521876,1.319070893,0.992747027
Npas2,0.000310878,0,0.001792966,0.000155724,0.000286408,0,0
Gm3617,0.012656538,0.00766435,0.005922445,0.013672133,0.01131027,0.01694241,0.010145521
Rpl31,9.576058615,9.236494749,9.440918495,10.71568726,7.952801681,9.844054543,12.62206147
Tbc1d8,0.038511434,0.00749444,0.000565433,0.012219169,0.026277554,0.002286742,0.006865937
D1Bwg0212e,0.656389889,0.720242567,0.69424787,0.658487791,0.653590216,0.753474869,0.630140564
Gm15832,0.003432767,0.007762762,0.001352885,0.00215263,0.004126723,0.00396975,0.003957894
Rnf149,0.159067857,0.207757743,0.174691007,0.195191267,0.228087341,0.245539499,0.214699949
SNORA33,0.001547392,0.001941268,0.0008957,0.001864081,0.001955923,0.002077029,0.001412633
Creg2,0.001704059,0,0,0.000569848,0.001307274,0.000652476,0.001334562
AC119809.1,0.000352335,0,0,0.000149388,5.08E-05,0,0
Rfx8,0.003645513,0.001950313,0.00349784,0.00218579,0.010240076,0.001243709,0.001285417
Gm3646,0,0,0,0,0.000383752,0,0
Map4k4,0.635163131,0.397928463,0.381046017,0.413202962,0.285111039,0.408945653,0.468001422
AC161534.1,8.49E-05,0,0,0.00018487,0.000512122,0,0.000542867
Il1r2,0.007908782,0.001281461,0.000455189,0.001872302,0.005153159,0.003711294,0.00054265
Il1r1,0.038952797,0.01380612,0.004846342,0.003557047,0.012922335,0.001194982,0.001630669
Il1rl2,0.001774479,0,0,0.000321501,0,0,0.000213001
Il1rl1,0.003876187,0,0,0.00012297,0,0,0
Il18r1,0,0,0,8.61E-05,0,0,0
Il18rap,0.002777472,0,0,0,0,0.000212358,0.000401404
Mfsd9,0.005604334,0.008430113,0.00654362,0.009641832,0.007346871,0.008783883,0.011979664
Tmem182,0.000147786,0,0,0,0.00431656,0.00012159,0.000537287
2610017I09Rik,0.008290832,0.003963964,0,0.009539187,0.003147756,0.030947164,0.046330496
Pou3f3,0.000943441,0.000722157,0,0.00140084,0.001150138,0.005990801,0.006492772
RP23-71K9.4,0,0,0,0.000195187,0,0.000246939,0
Mrps9,0.613773927,0.665145209,0.586894389,0.742896865,0.705060575,0.868927968,0.789981742
Gpr45,0.000484494,0.000643131,0,0.000203863,0.000222399,0.000843919,0.000885623
Tgfbrap1,0.031143972,0.019759973,0.016096728,0.026986528,0.024752476,0.021898438,0.028313835
8430432A02Rik,0.003811722,0.001019658,0.001591641,0.002225094,0.002358891,0.001987755,0.002343392
AI597479,0.0932338,0.116233707,0.124550504,0.133856856,0.116932738,0.117369101,0.157239512
Fhl2,0.311954359,0.119874425,0.334866545,0.218890473,2.154786881,0.103158852,0.212656219
Gm8210,0.058482175,0.06469283,0.048942658,0.065536212,0.050797512,0.084749063,0.067275085
Nck2,0.020685622,0.027947498,0.022798959,0.019752124,0.012905356,0.019075615,0.019223545
1500015O10Rik,0.000898376,0.005311403,0.007989255,0.001040437,0.00241972,0.000274714,0.00237205
Uxs1,0.307126499,0.300899964,0.356071162,0.313251191,0.182985984,0.392942989,0.417692866
Tpp2,0.52217558,0.44932618,0.404248916,0.383074329,0.408415786,0.405110738,0.435032189
Mettl21c,0.000609039,0.002573982,0,0.001358539,0.001084875,0.003149679,0.000529988
Gm8251,0.012454352,0.014206482,0.008774792,0.021478191,0.009295759,0.020338234,0.00797646
Tex30,1.385874624,1.47174673,1.092613982,1.347537411,1.558973477,1.387330994,1.011891753
Kdelc1,0.371997871,0.36511848,0.378887245,0.355303232,0.237664985,0.528197955,0.410348018
Bivm,0.091234029,0.109165187,0.117878848,0.122642995,0.081391475,0.128771466,0.120493911
Ercc5,0.110689749,0.138852249,0.148260664,0.157474187,0.121947034,0.10821559,0.162262302
Gulp1,0.187542357,0.193405834,0.303234122,0.199548778,0.089471125,0.181151398,0.138695521
Gm16102,0,0,0,7.63E-05,0,0.000477203,0
Col3a1,0.371737299,1.449143302,0.263654144,0.256107599,0.047545459,0.34657432,0.099582277
Col5a2,0.187501237,0.55523402,0.596297843,0.091277727,0.050432138,0.136056497,0.084507034
Wdr75,0.681382416,0.729760258,0.729550178,0.636253773,0.458185479,0.913619804,0.771659069
Gm5526,0.090466136,0.089332054,0.086381898,0.056954767,0.17018236,0.041887068,0.03642124
Slc40a1,0.014513504,0.029496075,0.027496901,0.015042738,0.005650067,0.001566261,0.005666912
Rpl23a-ps1,0.003301451,0.001869065,0.003208362,0.001949468,0.001873207,0.002886738,0.002946778
Dnahc7b,0.003207568,0.063836679,0.010304137,0.008237113,0.008309683,0.002568155,0.003669584
Slc39a10,0.879580791,0.854314796,0.854086239,0.785348285,0.488603505,0.702150316,0.796546755
Gm4852,0.002046668,0.000657999,0,0.002330423,0.001597041,0.002337644,0.001740008
RP23-34F5.1,0,0.000361195,0,0.000107616,0.000113085,0,0
Tmeff2,0.024309936,0.017818031,0.033648909,0.016484528,0.012462287,0.004029828,0.003857121
Sdpr,0.642445222,0.164913334,0.974831944,0.120503293,0.14410504,0.003760662,0.002546256
Nabp1,0.086280063,0.370509567,0.713948211,0.140238703,0.15712586,0.053800196,0.070173679
Myo1b,0.882577843,0.546455603,0.42209532,0.58052073,0.51993075,0.555229564,0.814403516
Gm8420,0.0237013,0.014750173,0.00869644,0.020345759,0.018726966,0.027818786,0.016092966
Stat4,0.001427933,0.00059207,0,0.000310293,0.000442158,0,0.000306012
Gm3940,0.0831129,0.058955145,0.07956053,0.098520164,0.074415993,0.124923768,0.074361074
Stat1,0.074663071,0.018231142,0.011260807,0.012705386,0.015811862,0.014333857,0.014095447
Gls,0.341616578,0.245759616,0.260204767,0.219906171,0.222633996,0.274943172,0.2383483
Nab1,0.420215152,0.221089737,0.116536808,0.092515747,0.410102692,0.188375673,0.051785935
RP24-150D18.2,0,0,0,0,0.000193523,0,0
Tmem194b,0.032996539,0.03719051,0.020902693,0.02755855,0.02144063,0.034518516,0.026698709
Mfsd6,0.014200887,0.003974318,0,0.003610043,0.010959269,0.001284586,0.001343124
Inpp1,0.077833382,0.045347149,0.056215509,0.03534592,0.044153381,0.084498461,0.030194805
Hibch,0.161358528,0.174505461,0.183015322,0.171385129,0.402633629,0.211953263,0.180539737
1700019D03Rik,0.003689633,0.002304076,0.001806539,0.007227442,0.005356099,0.047949109,0.006168672
Mstn,0.000422044,0.006657752,0,0.003666617,0.002333923,0.006050896,0
1700019A02Rik,0.000288713,0,0,0,2.53E-05,0.000746022,0
Pms1,0.050124803,0.101602203,0.073312669,0.093922127,0.072684993,0.086581901,0.092633457
Ormdl1,0.379448837,0.841722222,0.493967619,0.702226448,0.719092714,0.458888654,0.519583709
Osgepl1,0.188253569,0.25741351,0.213698084,0.330751104,0.406354884,0.273493004,0.34738478
Asnsd1,0.880402492,1.231022657,1.055511944,1.234426142,1.024099326,1.09586984,1.209041482
Dnahc7a,0.000203764,0,0.000941341,0.006009033,0.00566312,0.000349011,0.001670216
AC122925.1,0,0,0,0.000145959,0.000159556,0.000219256,0
Stk17b,0.097233891,0.114622925,0.152537527,0.090278163,0.176114881,0.047280622,0.060197416
Hecw2,0.223622986,0.016038678,0.030573128,0.0156508,0.058076417,0.012523527,0.015241905
Ccdc150,0.003219624,0.006322999,0.004485658,0.007450835,0.004272466,0.004790003,0.006580035
Gtf3c3,0.119531241,0.103252824,0.151041963,0.133772564,0.107568289,0.144775086,0.138919441
Pgap1,0.034915746,0.094857186,0.026235112,0.041357489,0.152250431,0.015783748,0.025994045
Ankrd44,0.117398059,0.050436538,0.018050427,0.051217273,0.032714009,0.043977808,0.043415399
Sf3b1,3.435873851,3.658609902,2.832605094,3.425086057,2.877809638,3.669098328,3.079425486
Coq10b,0.476989282,0.37749596,0.391769505,0.24034143,0.398830093,0.280101583,0.202436553
Hspd1,8.311772026,11.5038512,9.963283711,11.20215318,8.217210378,17.79161825,11.85547219
Hspe1,12.49545771,15.24240906,17.03236679,19.03951213,12.78084303,22.59821018,21.83109913
Gm16581,0,0,0,0,0,0,0
Mob4,1.899256402,1.748352466,1.651360055,1.641636631,1.998369685,1.470409489,1.402113293
Gm6822,0.002124302,0.000540089,0.0008957,0.001514387,0.002229137,0.001851851,0.00156486
Rftn2,0.08730628,0.010248959,0.012508431,0.018339191,0.004853437,0.073208332,0.074638898
AC122223.1,0.045704733,0.011921018,0.018629302,0.013888019,0.004997123,0.031098093,0.0512913
Mars2,0.085038828,0.061749559,0.064645521,0.048309323,0.049613979,0.084445624,0.056888563
Boll,0.00241229,0,0,0.000823747,0.003512799,0.000564623,0
Gm8292,1.007224738,0.952054575,0.871668809,1.061604725,0.736917638,1.024413581,1.09487547
Plcl1,0.009396624,0.023556784,0.007233252,0.003710589,0.020605591,0.001104474,0.000698804
Gm6644,0.055883523,0.065748431,0.063470288,0.058010655,0.080675706,0.106644905,0.053953442
Satb2,0.008402757,0.010125073,0.010810466,0.016970899,0.005424577,0.023602273,0.017597119
9130024F11Rik,0.002367366,0.008341229,0.004669537,0.010168594,0.003934525,0.013947408,0.008606426
AC161493.1,0.018762959,0.026129421,0.027287433,0.019321719,0.010959727,0.019719092,0.024050316
1700066M21Rik,0.042902488,0.047685473,0.04220237,0.038279168,0.026784806,0.045382597,0.038082775
Tyw5,0.336339623,0.321038122,0.455352202,0.280815575,0.231834302,0.331258908,0.315678354
9430016H08Rik,0.605756397,0.636266254,0.711977433,0.618787659,0.65194305,0.695820038,0.606879206
Spats2l,0.387251494,0.464227362,0.839918488,0.296392303,0.156636015,0.061450614,0.146507017
Kctd18,0.06972927,0.089080523,0.076996783,0.06448591,0.049081436,0.058363409,0.063487762
Sgol2,0.461313246,0.529258249,0.627245529,0.464192159,0.412691948,0.411903459,0.424138141
Aox1,0.005181881,0.001233527,0.000773934,0.000231672,0.001346459,0.000167864,0.000199572
Aox3,0.000579203,0,0,0.001007575,0.000980428,0,0.000646299
Aox4,0.000631279,0.0183091,0.000986409,0.011831351,0.057648123,0.000426432,0.002120241
Gm15759,0,0,0,0.000184466,0,0,0.000598545
Bzw1,4.962698227,4.999954653,4.421358116,4.42810716,3.298469167,5.077703042,4.22518661
Clk1,0.642369924,0.731020527,0.446017318,0.657640168,0.596861559,0.653916102,0.529817853
Ppil3,0.590908634,0.659730584,0.704211793,0.72937054,0.507465057,0.946400717,0.79248662
Nif3l1,0.425138377,0.451994308,0.439510249,0.576130464,0.304179298,0.855792755,0.632728835
Orc2,0.434531066,0.551669827,0.528710669,0.577949739,0.399452391,0.745988752,0.620159064
U6.22,0.000355007,0.000832904,0,0.000338041,0.000109543,0.000819084,0.000281141
Gm15834,0.001909412,0.006010163,0.002574795,0.001996603,0.002480232,0.001575245,0.002558557
Fam126b,0.082225067,0.076701108,0.065447382,0.085575606,0.087016503,0.076619721,0.093521346
Ndufb3,1.376259665,1.442983539,1.30141179,1.429833248,1.946882581,1.248586235,1.400338843
Gm10068,0.027486176,0.017718947,0.031161653,0.031166971,0.018971024,0.044209776,0.03216334
Als2cr12,0,0,0,0,0,0,0
Cflar,0.246154493,0.131698381,0.152019044,0.102942116,0.12038996,0.090641839,0.091866606
Casp8,0.323872143,0.101016946,0.063182619,0.065260456,0.06775546,0.082867674,0.07026011
Trak2,0.069954669,0.063940887,0.070154105,0.037708674,0.110491127,0.039740859,0.028628295
Stradb,0.068992286,0.130706078,0.140467815,0.077336079,0.095631909,0.068790293,0.063087978
Als2cr11.1,0,0,0,0,7.83E-05,0,0
