,Endocardial/Endothelial,Epicardium,Lateral Plate Mesoderm,Multipotent Progenitors,Myocardium,Neural Crest,Paraxial Mesoderm
Arhgap29,0.831668483,1.046592815,2.084445823,0.507976665,0.54465763,0.123654679,0.351136113
Abca4,0.006613679,0.072123261,0.088343574,0.021038779,0.037671501,0.0023189,0.003801343
Gm16078,0.000440524,0.002186578,0.002469929,0.001011395,0.001425138,0,0.000603416
Gm4609,0.005655887,0.003586291,0.003640276,0.007531035,0.008342074,0.00980543,0.005600371
Gclm,0.723252192,0.426728208,0.601777211,0.397967398,0.469418531,0.376153253,0.301915757
Gm6061,0.139460156,0.107011575,0.083982124,0.134653624,0.115387253,0.1840025,0.083684007
Gm17494,0.017553037,0.011670578,0.006443033,0.013839858,0.013553821,0.018675521,0.016772835
Dnttip2,1.559287369,1.355661862,1.270338165,1.306831986,0.957064116,1.732480173,1.532631977
Bcar3,0.027344109,0.321520756,0.291158151,0.04297597,0.05711828,0.085578169,0.026032337
U1.130,0,0.00050432,0.000922273,4.67E-05,0,0,0
Fnbp1l,0.454270519,0.607417172,0.442679949,0.531131979,0.317240251,0.57369996,0.433807347
Pde5a,0.067043571,0.078318446,0.062669626,0.09682102,0.060484441,0.036081062,0.094587361
Gm9364,0.006198486,0.007826161,0.001761925,0.006179613,0.005434322,0.010262979,0.006699905
AC155158.1,0.001065058,0.002482484,0.000819398,0.003658181,0.001510709,0.001031134,0.001888787
Fabp2,0.000811032,0,0,0.00067335,0.000154955,0,0
1810037I17Rik,1.680904282,2.38104438,1.908427056,1.574678981,2.717702426,0.900940716,1.100643008
Usp53,0.028238316,0.026388208,0.017930028,0.04450258,0.025619947,0.015776426,0.04632068
Myoz2,0.000990161,0.002699353,0,0.000569419,0.038012217,0.000207036,0.000594506
Synpo2,0.009228818,0.05019052,0.049055672,0.059539792,0.336765269,0.007838609,0.006090023
Sec24d,0.158162811,0.140451345,0.215904176,0.04977408,0.162537769,0.017857776,0.01952669
Mettl14,0.091843494,0.10158481,0.056830046,0.115364581,0.100139414,0.102823722,0.109657493
Prss12,0.030581168,0.029106352,0.011639271,0.005308174,0.003239571,0.012895774,0.003168353
Snora24,0.002329419,0.001983736,0.000823628,0.003183137,0.001275617,0.003895512,0.004378481
Ndst3,0.0009961,0.009228807,0.013863081,0.002702982,0.001120236,0.020969102,0
Gm15400,0.013846322,0.011443815,0.010565192,0.009860793,0.00993073,0.01720395,0.009666858
Gm9372,0.000572099,0.000419993,0,0.001321693,0.00075273,0.000830232,0.0006572
Tram1l1,0.109486668,0.179569014,0.130330978,0.122365422,0.120392564,0.105708036,0.11996874
AC113287.1,0.615131226,0.572892979,0.329420869,0.881112361,0.298223211,0.890082067,0.808166662
Ndst4,0.000451651,0.069854766,0,0.014447669,0.002031235,0.001947463,0.000661889
Ugt8a,0.001302446,0,0,0.000374438,0.002416184,0.000375265,0
Arsj,0.000770215,0,0.000684964,0.000727163,0.000131368,0.000394456,0.000904425
Gm17225,0,0,0,0,0,0.001235248,0
Camk2d,0.511392862,0.305260563,0.162586954,0.149194332,0.519867395,0.222632302,0.142619112
Gm15551,0,0.000984403,0,0,0.000232483,0,0.000340545
Ank2,0.027988714,0.06362852,0.021086686,0.046583958,0.043990931,0.037944896,0.043873508
AC131744.1,9.31E-05,0.000674179,0.001333312,0.000688409,0.000260128,0,0
Gm4392,0,0,0,0,0,0,0
Larp7,0.806012529,0.736776321,0.581677715,0.790158722,0.821209392,0.840555319,0.626874216
4930422G04Rik,0.054679119,0.053527055,0.05363877,0.060164044,0.047001204,0.058242466,0.055049471
Neurog2,0.002097277,0.000762397,0,0.005383009,0.000629713,0.000773792,0.000334499
Alpk1,0.002265962,0.001042114,0.000455382,0.001078164,0.00171212,0.00071171,0.000464424
Gm16238,0.086278104,0.064538807,0.044966829,0.0913913,0.059316653,0.123477941,0.077096227
Tifa,0.021997193,0,0.001264245,0.002474712,0.000457974,0.000459919,0.000398642
Ap1ar,0.184286649,0.234063055,0.216729378,0.287793135,0.15957493,0.297434492,0.238470094
5730508B09Rik,0.089554737,0.05552933,0.044265988,0.024500087,0.045347947,0.031793757,0.009328299
Gm10650,0,0,0,0,0.000127862,0,0.000244926
Gm9387,0,0,0,7.81E-05,0.000345022,0.000476637,0
Pitx2,0.039652704,0.569798965,1.480356832,0.613649236,0.468506314,0.010895921,0.640652754
Enpep,0.001433091,0.05238871,0.015665849,0.009898078,0.039764819,0.000603724,0.000307697
Elovl6,0.376893534,0.817642543,0.337949413,0.646022016,0.44920304,0.758147783,0.644827665
